FREQ-MHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 2160.00  -10.377   26.758
 2170.00  -10.375   26.755
 2180.00  -10.374   26.752
 2190.00  -10.372   26.750
 2200.00  -10.371   26.747
 2210.00  -10.370   26.745
 2220.00  -10.369   26.744
 2230.00  -10.369   26.742
 2240.00  -10.368   26.741
 2250.00  -10.368   26.740
 2260.00  -10.367   26.740
 2270.00  -10.367   26.740
 2280.00  -10.367   26.740
 2290.00  -10.367   26.740
 2300.00  -10.367   26.741
 2310.00  -10.368   26.742
 2320.00  -10.368   26.743
 2330.00  -10.369   26.744
 2340.00  -10.370   26.746
 2350.00  -10.371   26.748
 2360.00  -10.372   26.751
 2370.00  -10.373   26.753
 2380.00  -10.374   26.756
 2390.00  -10.376   26.760
 2400.00  -10.377   26.763
 2410.00  -10.379   26.767
 2420.00  -10.381   26.771
 2430.00  -10.383   26.775
 2440.00  -10.385   26.780
 2450.00  -10.387   26.784
 2460.00  -10.390   26.789
 2470.00  -10.392   26.795
 2480.00  -10.395   26.800
 2490.00  -10.398   26.806
 2500.00  -10.400   26.812
 2510.00  -10.403   26.818
 2520.00  -10.406   26.824
 2530.00  -10.409   26.831
 2540.00  -10.413   26.837
 2550.00  -10.416   26.844
 2560.00  -10.419   26.851
 2570.00  -10.423   26.859
 2580.00  -10.426   26.866
 2590.00  -10.430   26.873
 2600.00  -10.433   26.881
 2610.00  -10.437   26.889
 2620.00  -10.441   26.897
 2630.00  -10.445   26.905
 2640.00  -10.449   26.913
 2650.00  -10.453   26.921
 2660.00  -10.457   26.929
 2670.00  -10.461   26.937
 2680.00  -10.465   26.945
 2690.00  -10.469   26.954
 2700.00  -10.473   26.962
 2710.00  -10.477   26.971
 2720.00  -10.481   26.979
 2730.00  -10.485   26.987
 2740.00  -10.489   26.996
 2750.00  -10.493   27.004
 2760.00  -10.498   27.013
 2770.00  -10.502   27.021
 2780.00  -10.506   27.029
 2790.00  -10.510   27.037
 2800.00  -10.514   27.045
 2810.00  -10.518   27.053
 2820.00  -10.522   27.061
 2830.00  -10.526   27.069
 2840.00  -10.529   27.077
 2850.00  -10.533   27.085
 2860.00  -10.537   27.092
 2870.00  -10.541   27.099
 2880.00  -10.544   27.106
 2890.00  -10.548   27.113
 2900.00  -10.551   27.120
 2910.00  -10.554   27.127
 2920.00  -10.558   27.133
 2930.00  -10.561   27.140
 2940.00  -10.564   27.146
 2950.00  -10.567   27.152
 2960.00  -10.570   27.157
 2970.00  -10.573   27.163
 2980.00  -10.575   27.168
 2990.00  -10.578   27.173
 3000.00  -10.580   27.177
 3010.00  -10.582   27.182
 3020.00  -10.585   27.186
 3030.00  -10.587   27.190
 3040.00  -10.588   27.194
 3050.00  -10.590   27.197
 3060.00  -10.592   27.200
 3070.00  -10.593   27.203
 3080.00  -10.595   27.205
 3090.00  -10.596   27.208
 3100.00  -10.597   27.210
 3110.00  -10.598   27.211
 3120.00  -10.599   27.213
 3130.00  -10.599   27.214
 3140.00  -10.600   27.215
 3150.00  -10.600   27.215
 3160.00  -10.600   27.215
 3170.00  -10.600   27.215
 3180.00  -10.600   27.215
 3190.00  -10.600   27.214
 3200.00  -10.599   27.213
 3210.00  -10.599   27.212
 3220.00  -10.598   27.210
 3230.00  -10.597   27.208
 3240.00  -10.596   27.206
 3250.00  -10.595   27.204
 3260.00  -10.594   27.201
 3270.00  -10.592   27.198
 3280.00  -10.591   27.195
 3290.00  -10.589   27.191
 3300.00  -10.587   27.187
 3310.00  -10.585   27.183
 3320.00  -10.583   27.179
 3330.00  -10.581   27.174
 3340.00  -10.578   27.169
 3350.00  -10.576   27.164
 3360.00  -10.573   27.159
 3370.00  -10.571   27.154
 3380.00  -10.568   27.148
 3390.00  -10.565   27.142
 3400.00  -10.562   27.136
 3410.00  -10.559   27.130
 3420.00  -10.556   27.123
 3430.00  -10.553   27.117
 3440.00  -10.549   27.110
 3450.00  -10.546   27.103
 3460.00  -10.542   27.096
 3470.00  -10.539   27.089
 3480.00  -10.535   27.081
 3490.00  -10.532   27.074
 3500.00  -10.528   27.067
 3510.00  -10.524   27.059
 3520.00  -10.520   27.051
 3530.00  -10.517   27.043
 3540.00  -10.513   27.036
 3550.00  -10.509   27.028
 3560.00  -10.505   27.020
 3570.00  -10.501   27.012
 3580.00  -10.497   27.004
 3590.00  -10.493   26.996
 3600.00  -10.489   26.988
 3610.00  -10.485   26.980
 3620.00  -10.482   26.972
 3630.00  -10.478   26.964
 3640.00  -10.474   26.956
 3650.00  -10.470   26.949
 3660.00  -10.466   26.941
 3670.00  -10.462   26.933
 3680.00  -10.459   26.926
 3690.00  -10.455   26.918
 3700.00  -10.452   26.911
 3710.00  -10.448   26.904
 3720.00  -10.445   26.897
 3730.00  -10.441   26.890
 3740.00  -10.438   26.883
 3750.00  -10.435   26.876
 3760.00  -10.431   26.870
 3770.00  -10.428   26.863
 3780.00  -10.425   26.857
 3790.00  -10.422   26.851
 3800.00  -10.420   26.846
 3810.00  -10.417   26.840
 3820.00  -10.414   26.835
 3830.00  -10.412   26.830
 3840.00  -10.409   26.825
 3850.00  -10.407   26.820
 3860.00  -10.405   26.816
 3870.00  -10.403   26.812
 3880.00  -10.401   26.808
 3890.00  -10.399   26.804
 3900.00  -10.397   26.801
 3910.00  -10.396   26.798
 3920.00  -10.394   26.795
 3930.00  -10.393   26.792
 3940.00  -10.392   26.790
 3950.00  -10.391   26.788
 3960.00  -10.390   26.786
 3970.00  -10.389   26.785
 3980.00  -10.389   26.784
 3990.00  -10.388   26.783
 4000.00  -10.388   26.782

