FREQ-MHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
2710	-13.74	37.088
2720	-13.665	36.902
2730	-13.591	36.716
2740	-13.518	36.531
2750	-13.446	36.348
2760	-13.376	36.165
2770	-13.307	35.984
2780	-13.239	35.803
2790	-13.173	35.624
2800	-13.107	35.446
2810	-13.043	35.27
2820	-12.98	35.095
2830	-12.919	34.921
2840	-12.858	34.748
2850	-12.799	34.577
2860	-12.74	34.407
2870	-12.683	34.239
2880	-12.627	34.072
2890	-12.572	33.907
2900	-12.517	33.744
2910	-12.464	33.582
2920	-12.412	33.421
2930	-12.361	33.263
2940	-12.311	33.106
2950	-12.262	32.95
2960	-12.213	32.797
2970	-12.166	32.645
2980	-12.12	32.495
2990	-12.074	32.346
3000	-12.03	32.2
3010	-11.986	32.056
3020	-11.943	31.913
3030	-11.902	31.772
3040	-11.861	31.633
3050	-11.82	31.496
3060	-11.781	31.362
3070	-11.743	31.229
3080	-11.705	31.098
3090	-11.668	30.969
3100	-11.632	30.842
3110	-11.597	30.717
3120	-11.563	30.595
3130	-11.529	30.474
3140	-11.496	30.356
3150	-11.464	30.24
3160	-11.433	30.126
3170	-11.402	30.014
3180	-11.372	29.904
3190	-11.343	29.797
3200	-11.315	29.692
3210	-11.287	29.589
3220	-11.26	29.489
3230	-11.234	29.39
3240	-11.209	29.294
3250	-11.184	29.201
3260	-11.16	29.109
3270	-11.137	29.02
3280	-11.114	28.934
3290	-11.092	28.85
3300	-11.071	28.768
3310	-11.05	28.689
3320	-11.03	28.612
3330	-11.011	28.537
3340	-10.992	28.465
3350	-10.975	28.396
3360	-10.957	28.328
3370	-10.941	28.264
3380	-10.925	28.202
3390	-10.91	28.142
3400	-10.895	28.085
3410	-10.881	28.031
3420	-10.868	27.979
3430	-10.855	27.929
3440	-10.843	27.882
3450	-10.831	27.838
3460	-10.821	27.796
3470	-10.81	27.757
3480	-10.801	27.721
3490	-10.792	27.687
3500	-10.784	27.655
3510	-10.776	27.626
3520	-10.769	27.6
3530	-10.763	27.577
3540	-10.757	27.556
3550	-10.752	27.538
3560	-10.747	27.522
3570	-10.743	27.509
3580	-10.74	27.498
3590	-10.737	27.491
3600	-10.735	27.486
3610	-10.734	27.483
3620	-10.733	27.483
3630	-10.733	27.486
3640	-10.733	27.491
3650	-10.734	27.499
3660	-10.736	27.51
3670	-10.738	27.523
3680	-10.741	27.539
3690	-10.744	27.558
3700	-10.748	27.579
3710	-10.753	27.603
3720	-10.758	27.629
3730	-10.764	27.658
3740	-10.771	27.69
3750	-10.778	27.724
3760	-10.786	27.761
3770	-10.794	27.8
3780	-10.803	27.842
3790	-10.813	27.886
3800	-10.823	27.933
3810	-10.834	27.983
3820	-10.846	28.035
3830	-10.858	28.09
3840	-10.871	28.147
3850	-10.885	28.207
3860	-10.899	28.269
3870	-10.914	28.334
3880	-10.929	28.401
3890	-10.945	28.47
3900	-10.962	28.542
3910	-10.98	28.617
3920	-10.998	28.694
3930	-11.016	28.773
3940	-11.036	28.855
3950	-11.056	28.939
3960	-11.077	29.026
3970	-11.098	29.115
3980	-11.121	29.206
3990	-11.144	29.299
4000	-11.167	29.395
