FREQ-MHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
2710	-10.477	26.971
2720	-10.481	26.979
2730	-10.485	26.987
2740	-10.489	26.996
2750	-10.493	27.004
2760	-10.498	27.013
2770	-10.502	27.021
2780	-10.506	27.029
2790	-10.51	27.037
2800	-10.514	27.045
2810	-10.518	27.053
2820	-10.522	27.061
2830	-10.526	27.069
2840	-10.529	27.077
2850	-10.533	27.085
2860	-10.537	27.092
2870	-10.541	27.099
2880	-10.544	27.106
2890	-10.548	27.113
2900	-10.551	27.12
2910	-10.554	27.127
2920	-10.558	27.133
2930	-10.561	27.14
2940	-10.564	27.146
2950	-10.567	27.152
2960	-10.57	27.157
2970	-10.573	27.163
2980	-10.575	27.168
2990	-10.578	27.173
3000	-10.58	27.177
3010	-10.582	27.182
3020	-10.585	27.186
3030	-10.587	27.19
3040	-10.588	27.194
3050	-10.59	27.197
3060	-10.592	27.2
3070	-10.593	27.203
3080	-10.595	27.205
3090	-10.596	27.208
3100	-10.597	27.21
3110	-10.598	27.211
3120	-10.599	27.213
3130	-10.599	27.214
3140	-10.6	27.215
3150	-10.6	27.215
3160	-10.6	27.215
3170	-10.6	27.215
3180	-10.6	27.215
3190	-10.6	27.214
3200	-10.599	27.213
3210	-10.599	27.212
3220	-10.598	27.21
3230	-10.597	27.208
3240	-10.596	27.206
3250	-10.595	27.204
3260	-10.594	27.201
3270	-10.592	27.198
3280	-10.591	27.195
3290	-10.589	27.191
3300	-10.587	27.187
3310	-10.585	27.183
3320	-10.583	27.179
3330	-10.581	27.174
3340	-10.578	27.169
3350	-10.576	27.164
3360	-10.573	27.159
3370	-10.571	27.154
3380	-10.568	27.148
3390	-10.565	27.142
3400	-10.562	27.136
3410	-10.559	27.13
3420	-10.556	27.123
3430	-10.553	27.117
3440	-10.549	27.11
3450	-10.546	27.103
3460	-10.542	27.096
3470	-10.539	27.089
3480	-10.535	27.081
3490	-10.532	27.074
3500	-10.528	27.067
3510	-10.524	27.059
3520	-10.52	27.051
3530	-10.517	27.043
3540	-10.513	27.036
3550	-10.509	27.028
3560	-10.505	27.02
3570	-10.501	27.012
3580	-10.497	27.004
3590	-10.493	26.996
3600	-10.489	26.988
3610	-10.485	26.98
3620	-10.482	26.972
3630	-10.478	26.964
3640	-10.474	26.956
3650	-10.47	26.949
3660	-10.466	26.941
3670	-10.462	26.933
3680	-10.459	26.926
3690	-10.455	26.918
3700	-10.452	26.911
3710	-10.448	26.904
3720	-10.445	26.897
3730	-10.441	26.89
3740	-10.438	26.883
3750	-10.435	26.876
3760	-10.431	26.87
3770	-10.428	26.863
3780	-10.425	26.857
3790	-10.422	26.851
3800	-10.42	26.846
3810	-10.417	26.84
3820	-10.414	26.835
3830	-10.412	26.83
3840	-10.409	26.825
3850	-10.407	26.82
3860	-10.405	26.816
3870	-10.403	26.812
3880	-10.401	26.808
3890	-10.399	26.804
3900	-10.397	26.801
3910	-10.396	26.798
3920	-10.394	26.795
3930	-10.393	26.792
3940	-10.392	26.79
3950	-10.391	26.788
3960	-10.39	26.786
3970	-10.389	26.785
3980	-10.389	26.784
3990	-10.388	26.783
4000	-10.388	26.782
