FREQ-GHZ	DB[S21]
	EXP1
	
3.53	-91.136
3.54	-92.123
3.55	-93.13
3.56	-94.158
3.57	-95.207
3.58	-96.281
3.59	-97.378
3.6	-98.501
3.61	-99.651
3.62	-100.83
3.63	-102.038
3.64	-103.278
3.65	-104.552
3.66	-105.861
3.67	-107.208
3.68	-108.595
3.69	-110.025
3.7	-111.5
3.71	-113.023
3.72	-114.599
3.73	-116.231
3.74	-117.922
3.75	-119.679
3.76	-121.505
3.77	-123.407
3.78	-125.391
3.79	-127.466
3.8	-129.638
3.81	-131.919
3.82	-134.318
3.83	-136.849
3.84	-139.526
3.85	-142.366
3.86	-145.388
3.87	-148.615
3.88	-152.072
3.89	-155.789
3.9	-159.799
3.91	-164.134
3.92	-168.824
3.93	-173.882
3.94	-179.276
3.95	-184.872
3.96	-190.348
3.97	-195.111
3.98	-198.4
3.99	-199.652
4	-198.708
4.01	-195.692
4.02	-191.053
4.03	-185.543
4.04	-179.841
4.05	-174.334
4.06	-169.178
4.07	-164.41
4.08	-160.014
4.09	-155.957
4.1	-152.202
4.11	-148.714
4.12	-145.462
4.13	-142.418
4.14	-139.56
4.15	-136.868
4.16	-134.323
4.17	-131.91
4.18	-129.618
4.19	-127.435
4.2	-125.351
4.21	-123.357
4.22	-121.446
4.23	-119.611
4.24	-117.847
4.25	-116.148
4.26	-114.509
4.27	-112.926
4.28	-111.396
4.29	-109.914
4.3	-108.478
4.31	-107.084
4.32	-105.731
4.33	-104.416
4.34	-103.136
4.35	-101.89
4.36	-100.676
4.37	-99.492
4.38	-98.336
4.39	-97.208
4.4	-96.105
4.41	-95.026
4.42	-93.971
4.43	-92.938
4.44	-91.926
4.45	-90.935
4.46	-89.962
4.47	-89.008
4.48	-88.072
4.49	-87.153
4.5	-86.25
