FREQ-GHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 2.08000   -0.427    4.024
 2.09000   -0.424    3.449
 2.10000   -0.421    2.892
 2.11000   -0.418    2.361
 2.12000   -0.417    1.873
 2.13000   -0.415    1.466
 2.14000   -0.415    1.222
 2.15000   -0.415    1.238
 2.16000   -0.415    1.505
 2.17000   -0.417    1.924
 2.18000   -0.419    2.418
 2.19000   -0.421    2.953
 2.20000   -0.424    3.512
 2.21000   -0.428    4.090
 2.22000   -0.433    4.682
 2.23000   -0.438    5.288
 2.24000   -0.444    5.906
 2.25000   -0.451    6.539
 2.26000   -0.459    7.185
 2.27000   -0.468    7.847
 2.28000   -0.478    8.525
 2.29000   -0.489    9.222
 2.30000   -0.501    9.938
 2.31000   -0.514   10.676
 2.32000   -0.529   11.439
 2.33000   -0.545   12.227
 2.34000   -0.563   13.045
 2.35000   -0.582   13.895
 2.36000   -0.603   14.781
 2.37000   -0.627   15.706
 2.38000   -0.652   16.675
 2.39000   -0.680   17.693
 2.40000   -0.710   18.764
 2.41000   -0.744   19.896
 2.42000   -0.780   21.097
 2.43000   -0.820   22.373
 2.44000   -0.864   23.736
 2.45000   -0.912   25.196
 2.46000   -0.965   26.768
 2.47000   -1.023   28.467
 2.48000   -1.086   30.312
 2.49000   -1.156   32.327
 2.50000   -1.232   34.540
 2.51000   -1.315   36.985
 2.52000   -1.406   39.705
 2.53000   -1.505   42.754
 2.54000   -1.612   46.200
 2.55000   -1.728   50.132
 2.56000   -1.852   54.663
 2.57000   -1.985   59.949
 2.58000   -2.126   66.198
 2.59000   -2.272   73.697
 2.60000   -2.423   82.856
 2.61000   -2.575   94.263
 2.62000   -2.724  108.778
 2.63000   -2.867  127.656
 2.64000   -2.997  152.614
 2.65000   -3.109  185.403
 2.66000   -3.198  225.094
 2.67000   -3.259  259.896
 2.68000   -3.290  264.799
 2.69000   -3.289  235.030
 2.70000   -3.257  194.787
 2.71000   -3.197  159.969
 2.72000   -3.112  133.206
 2.73000   -3.008  112.998
 2.74000   -2.889   97.536
 2.75000   -2.762   85.452
 2.76000   -2.629   75.800
 2.77000   -2.495   67.933
 2.78000   -2.363   61.405
 2.79000   -2.235   55.903
 2.80000   -2.112   51.200
 2.81000   -1.995   47.132
 2.82000   -1.885   43.575
 2.83000   -1.782   40.435
 2.84000   -1.686   37.639
 2.85000   -1.597   35.130
 2.86000   -1.515   32.864
 2.87000   -1.438   30.803
 2.88000   -1.368   28.918
 2.89000   -1.303   27.185
 2.90000   -1.243   25.584
 2.91000   -1.187   24.098
 2.92000   -1.136   22.713
 2.93000   -1.089   21.417
 2.94000   -1.046   20.199
 2.95000   -1.006   19.052
 2.96000   -0.969   17.967
 2.97000   -0.935   16.937
 2.98000   -0.904   15.958
 2.99000   -0.875   15.024
 3.00000   -0.848   14.131
 3.01000   -0.824   13.274
 3.02000   -0.801   12.451
 3.03000   -0.780   11.658
 3.04000   -0.761   10.893
 3.05000   -0.743   10.152
 3.06000   -0.727    9.435
 3.07000   -0.713    8.739
 3.08000   -0.699    8.063
 3.09000   -0.687    7.404
 3.10000   -0.676    6.763
 3.11000   -0.667    6.139
 3.12000   -0.658    5.531
 3.13000   -0.650    4.940
 3.14000   -0.643    4.367
 3.15000   -0.638    3.816
 3.16000   -0.633    3.292
 3.17000   -0.629    2.806
 3.18000   -0.626    2.376
 3.19000   -0.624    2.035
 3.20000   -0.623    1.831
 3.21000   -0.623    1.807
 3.22000   -0.624    1.972
 3.23000   -0.626    2.284
 3.24000   -0.629    2.696
 3.25000   -0.632    3.171
 3.26000   -0.637    3.687
 3.27000   -0.642    4.233
 3.28000   -0.649    4.801
 3.29000   -0.657    5.388
 3.30000   -0.666    5.992
 3.31000   -0.676    6.612
 3.32000   -0.688    7.250
 3.33000   -0.701    7.904
 3.34000   -0.715    8.576
 3.35000   -0.731    9.267
 3.36000   -0.749    9.980
 3.37000   -0.768   10.714
 3.38000   -0.789   11.474
 3.39000   -0.813   12.260
 3.40000   -0.838   13.075
 3.41000   -0.866   13.923
 3.42000   -0.897   14.807
 3.43000   -0.930   15.731
 3.44000   -0.967   16.698
 3.45000   -1.007   17.714
 3.46000   -1.051   18.783
 3.47000   -1.099   19.914
 3.48000   -1.151   21.111
 3.49000   -1.208   22.384
 3.50000   -1.271   23.743
 3.51000   -1.340   25.198
 3.52000   -1.415   26.763
 3.53000   -1.498   28.453
 3.54000   -1.588   30.287
 3.55000   -1.687   32.287
 3.56000   -1.795   34.479
 3.57000   -1.913   36.897
 3.58000   -2.041   39.580
 3.59000   -2.182   42.578
 3.60000   -2.334   45.953
 3.61000   -2.498   49.785
 3.62000   -2.675   54.174
 3.63000   -2.863   59.250
 3.64000   -3.062   65.186
 3.65000   -3.269   72.206
 3.66000   -3.482   80.606
 3.67000   -3.697   90.769
 3.68000   -3.907  103.171
 3.69000   -4.106  118.320
 3.70000   -4.286  136.511
 3.71000   -4.438  157.113
 3.72000   -4.554  177.089
 3.73000   -4.628  189.908
 3.74000   -4.654  188.973
 3.75000   -4.633  174.836
 3.76000   -4.566  154.498
 3.77000   -4.459  134.102
 3.78000   -4.319  116.288
 3.79000   -4.153  101.509
 3.80000   -3.970   89.415
 3.81000   -3.777   79.497
 3.82000   -3.581   71.289
 3.83000   -3.386   64.420
 3.84000   -3.195   58.603
 3.85000   -3.013   53.621
 3.86000   -2.839   49.308
 3.87000   -2.676   45.539
 3.88000   -2.523   42.216
 3.89000   -2.381   39.261
 3.90000   -2.250   36.614
 3.91000   -2.128   34.227
 3.92000   -2.015   32.061
 3.93000   -1.912   30.084
 3.94000   -1.816   28.270
 3.95000   -1.729   26.597
 3.96000   -1.648   25.047
 3.97000   -1.574   23.606
 3.98000   -1.505   22.260
 3.99000   -1.442   20.998
 4.00000   -1.384   19.811

