FREQ-GHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 2.09000   -0.977   81.116
 2.10000   -0.997   87.129
 2.11000   -1.016   93.908
 2.12000   -1.036  101.619
 2.13000   -1.055  110.480
 2.14000   -1.074  120.782
 2.15000   -1.093  132.917
 2.16000   -1.112  147.432
 2.17000   -1.131  165.107
 2.18000   -1.149  187.084
 2.19000   -1.166  215.091
 2.20000   -1.183  251.824
 2.21000   -1.198  301.577
 2.22000   -1.214  371.061
 2.23000   -1.228  468.892
 2.24000   -1.241  593.967
 2.25000   -1.253  688.342
 2.26000   -1.264  649.300
 2.27000   -1.274  525.553
 2.28000   -1.283  412.957
 2.29000   -1.290  331.197
 2.30000   -1.296  273.192
 2.31000   -1.301  231.013
 2.32000   -1.305  199.326
 2.33000   -1.308  174.782
 2.34000   -1.309  155.260
 2.35000   -1.309  139.378
 2.36000   -1.308  126.206
 2.37000   -1.306  115.101
 2.38000   -1.303  105.605
 2.39000   -1.299   97.386
 2.40000   -1.294   90.193
 2.41000   -1.289   83.840
 2.42000   -1.282   78.180
 2.43000   -1.275   73.098
 2.44000   -1.268   68.505
 2.45000   -1.259   64.328
 2.46000   -1.251   60.507
 2.47000   -1.241   56.994
 2.48000   -1.232   53.748
 2.49000   -1.222   50.736
 2.50000   -1.212   47.930
 2.51000   -1.202   45.304
 2.52000   -1.192   42.839
 2.53000   -1.182   40.517
 2.54000   -1.171   38.323
 2.55000   -1.161   36.243
 2.56000   -1.151   34.266
 2.57000   -1.141   32.382
 2.58000   -1.131   30.581
 2.59000   -1.122   28.856
 2.60000   -1.112   27.200
 2.61000   -1.103   25.606
 2.62000   -1.094   24.069
 2.63000   -1.085   22.583
 2.64000   -1.077   21.145
 2.65000   -1.069   19.750
 2.66000   -1.062   18.395
 2.67000   -1.054   17.076
 2.68000   -1.048   15.791
 2.69000   -1.041   14.536
 2.70000   -1.035   13.311
 2.71000   -1.030   12.113
 2.72000   -1.025   10.942
 2.73000   -1.020    9.796
 2.74000   -1.016    8.678
 2.75000   -1.013    7.591
 2.76000   -1.009    6.540
 2.77000   -1.007    5.537
 2.78000   -1.005    4.605
 2.79000   -1.003    3.790
 2.80000   -1.002    3.176
 2.81000   -1.002    2.888
 2.82000   -1.002    3.020
 2.83000   -1.003    3.526
 2.84000   -1.004    4.276
 2.85000   -1.006    5.170
 2.86000   -1.009    6.149
 2.87000   -1.012    7.184
 2.88000   -1.016    8.259
 2.89000   -1.020    9.366
 2.90000   -1.025   10.501
 2.91000   -1.031   11.662
 2.92000   -1.038   12.850
 2.93000   -1.045   14.065
 2.94000   -1.053   15.308
 2.95000   -1.061   16.581
 2.96000   -1.071   17.887
 2.97000   -1.081   19.228
 2.98000   -1.092   20.607
 2.99000   -1.104   22.028
 3.00000   -1.116   23.495
 3.01000   -1.130   25.011
 3.02000   -1.144   26.582
 3.03000   -1.159   28.213
 3.04000   -1.174   29.911
 3.05000   -1.191   31.680
 3.06000   -1.208   33.530
 3.07000   -1.226   35.469
 3.08000   -1.245   37.506
 3.09000   -1.265   39.652
 3.10000   -1.285   41.920
 3.11000   -1.306   44.323
 3.12000   -1.328   46.879
 3.13000   -1.351   49.606
 3.14000   -1.374   52.527
 3.15000   -1.398   55.667
 3.16000   -1.422   59.057
 3.17000   -1.447   62.734
 3.18000   -1.472   66.741
 3.19000   -1.498   71.131
 3.20000   -1.523   75.968
 3.21000   -1.549   81.332
 3.22000   -1.575   87.319
 3.23000   -1.601   94.053
 3.24000   -1.627  101.690
 3.25000   -1.652  110.432
 3.26000   -1.677  120.541
 3.27000   -1.701  132.364
 3.28000   -1.725  146.367
 3.29000   -1.748  163.184
 3.30000   -1.770  183.682
 3.31000   -1.791  209.043
 3.32000   -1.811  240.831
 3.33000   -1.829  280.874
 3.34000   -1.846  330.461
 3.35000   -1.862  387.406
 3.36000   -1.876  439.486
 3.37000   -1.888  461.707
 3.38000   -1.899  438.498
 3.39000   -1.908  386.053
 3.40000   -1.915  329.199
 3.41000   -1.920  279.838
 3.42000   -1.924  240.011
 3.43000   -1.926  208.397
 3.44000   -1.926  183.168
 3.45000   -1.924  162.770
 3.46000   -1.921  146.029
 3.47000   -1.916  132.084
 3.48000   -1.909  120.307
 3.49000   -1.902  110.235
 3.50000   -1.892  101.522
 3.51000   -1.882   93.909
 3.52000   -1.871   87.195
 3.53000   -1.858   81.224
 3.54000   -1.845   75.875
 3.55000   -1.831   71.050
 3.56000   -1.816   66.671
 3.57000   -1.801   62.673
 3.58000   -1.785   59.005
 3.59000   -1.769   55.622
 3.60000   -1.753   52.489
 3.61000   -1.736   49.575
 3.62000   -1.719   46.854
 3.63000   -1.703   44.304
 3.64000   -1.686   41.906
 3.65000   -1.669   39.644
 3.66000   -1.653   37.503
 3.67000   -1.637   35.472
 3.68000   -1.621   33.539
 3.69000   -1.606   31.694
 3.70000   -1.590   29.930
 3.71000   -1.576   28.240
 3.72000   -1.561   26.615
