FREQ-MHZ  DB[S11]  MAG[Z1]
             EXP1     EXP1
 
 2260.00   -9.803   69.986
 2270.00   -9.665   68.225
 2280.00   -9.529   66.477
 2290.00   -9.393   64.748
 2300.00   -9.260   63.046
 2310.00   -9.129   61.377
 2320.00   -9.000   59.743
 2330.00   -8.875   58.148
 2340.00   -8.753   56.595
 2350.00   -8.635   55.085
 2360.00   -8.522   53.618
 2370.00   -8.412   52.196
 2380.00   -8.307   50.818
 2390.00   -8.206   49.485
 2400.00   -8.110   48.195
 2410.00   -8.019   46.948
 2420.00   -7.933   45.743
 2430.00   -7.852   44.580
 2440.00   -7.775   43.458
 2450.00   -7.704   42.375
 2460.00   -7.638   41.332
 2470.00   -7.577   40.326
 2480.00   -7.521   39.356
 2490.00   -7.470   38.423
 2500.00   -7.424   37.526
 2510.00   -7.384   36.663
 2520.00   -7.349   35.834
 2530.00   -7.319   35.038
 2540.00   -7.294   34.275
 2550.00   -7.275   33.544
 2560.00   -7.262   32.846
 2570.00   -7.254   32.179
 2580.00   -7.252   31.544
 2590.00   -7.255   30.941
 2600.00   -7.264   30.369
 2610.00   -7.280   29.829
 2620.00   -7.301   29.321
 2630.00   -7.329   28.845
 2640.00   -7.363   28.402
 2650.00   -7.404   27.992
 2660.00   -7.452   27.616
 2670.00   -7.506   27.273
 2680.00   -7.568   26.966
 2690.00   -7.638   26.695
 2700.00   -7.715   26.460
 2710.00   -7.801   26.263
 2720.00   -7.896   26.104
 2730.00   -7.999   25.985
 2740.00   -8.111   25.905
 2750.00   -8.234   25.867
 2760.00   -8.366   25.870
 2770.00   -8.510   25.916
 2780.00   -8.665   26.006
 2790.00   -8.831   26.140
 2800.00   -9.010   26.319
 2810.00   -9.203   26.543
 2820.00   -9.409   26.812
 2830.00   -9.629   27.128
 2840.00   -9.864   27.490
 2850.00  -10.115   27.898
 2860.00  -10.382   28.351
 2870.00  -10.666   28.849
 2880.00  -10.966   29.392
 2890.00  -11.282   29.978
 2900.00  -11.615   30.605
 2910.00  -11.962   31.273
 2920.00  -12.321   31.978
 2930.00  -12.689   32.718
 2940.00  -13.061   33.489
 2950.00  -13.430   34.288
 2960.00  -13.785   35.110
 2970.00  -14.114   35.950
 2980.00  -14.402   36.801
 2990.00  -14.632   37.657
 3000.00  -14.785   38.510

