FREQ-GHZ  MAG[Z1]  DB[S11]  MAG[Z1]  DB[S11]
           EXP312   EXP312   EXP314   EXP314
 
 1.40000   29.254  -11.523   28.129  -10.907
 1.41000   29.153  -11.473   27.998  -10.873
 1.42000   29.053  -11.425   27.881  -10.842
 1.43000   28.955  -11.378   27.779  -10.815
 1.44000   28.858  -11.332   27.691  -10.792
 1.45000   28.763  -11.287   27.618  -10.773
 1.46000   28.670  -11.244   27.560  -10.757
 1.47000   28.579  -11.202   27.517  -10.745
 1.48000   28.490  -11.161   27.489  -10.736
 1.49000   28.404  -11.121   27.477  -10.731
 1.50000   28.319  -11.083   27.479  -10.729
 1.51000   28.237  -11.046   27.496  -10.731
 1.52000   28.157  -11.010   27.528  -10.736
 1.53000   28.080  -10.975   27.575  -10.746
 1.54000   28.006  -10.942   27.637  -10.758
 1.55000   27.934  -10.911   27.713  -10.774
 1.56000   27.865  -10.880   27.804  -10.794
 1.57000   27.799  -10.852   27.910  -10.818
 1.58000   27.736  -10.824   28.031  -10.845
 1.59000   27.676  -10.798   28.166  -10.876
 1.60000   27.619  -10.773   28.314  -10.910
 1.61000   27.565  -10.750   28.477  -10.949
 1.62000   27.514  -10.728   28.654  -10.991
 1.63000   27.466  -10.707   28.845  -11.037
 1.64000   27.421  -10.688   29.049  -11.087
 1.65000   27.380  -10.671   29.266  -11.141
 1.66000   27.342  -10.654   29.496  -11.199
 1.67000   27.308  -10.639   29.739  -11.261
 1.68000   27.277  -10.626   29.995  -11.327
 1.69000   27.249  -10.614   30.263  -11.397
 1.70000   27.225  -10.603   30.543  -11.472
 1.71000   27.204  -10.594   30.834  -11.551
 1.72000   27.187  -10.587   31.138  -11.635
 1.73000   27.173  -10.580   31.452  -11.724
 1.74000   27.163  -10.575   31.777  -11.817
 1.75000   27.156  -10.572   32.113  -11.915
 1.76000   27.153  -10.570   32.458  -12.018
 1.77000   27.153  -10.569   32.814  -12.126
 1.78000   27.157  -10.570   33.179  -12.240
 1.79000   27.165  -10.572   33.553  -12.359
 1.80000   27.176  -10.576   33.935  -12.484
 1.81000   27.190  -10.581   34.326  -12.615
 1.82000   27.208  -10.588   34.725  -12.751
 1.83000   27.229  -10.596   35.131  -12.894
 1.84000   27.254  -10.605   35.543  -13.044
 1.85000   27.283  -10.616   35.962  -13.200
 1.86000   27.314  -10.628   36.387  -13.364
 1.87000   27.349  -10.642   36.816  -13.534
 1.88000   27.388  -10.657   37.250  -13.713
 1.89000   27.429  -10.673   37.689  -13.899
 1.90000   27.474  -10.691   38.130  -14.093
 1.91000   27.522  -10.710   38.574  -14.297
 1.92000   27.573  -10.731   39.019  -14.510
 1.93000   27.628  -10.753   39.466  -14.732
 1.94000   27.685  -10.776   39.913  -14.964
 1.95000   27.745  -10.801   40.359  -15.208
 1.96000   27.808  -10.827   40.804  -15.462
 1.97000   27.874  -10.855   41.247  -15.729
 1.98000   27.943  -10.884   41.686  -16.009
 1.99000   28.015  -10.914   42.121  -16.303
 2.00000   28.089  -10.946   42.550  -16.611
 2.01000   28.165  -10.979   42.973  -16.935
 2.02000   28.244  -11.013   43.389  -17.277
 2.03000   28.326  -11.049   43.797  -17.636
 2.04000   28.409  -11.085   44.194  -18.016
 2.05000   28.495  -11.123   44.581  -18.417
 2.06000   28.583  -11.163   44.956  -18.843
 2.07000   28.673  -11.204   45.319  -19.294
 2.08000   28.764  -11.245   45.667  -19.775
 2.09000   28.858  -11.288   45.999  -20.288
 2.10000   28.953  -11.333   46.316  -20.836
 2.11000   29.050  -11.378   46.615  -21.426
 2.12000   29.148  -11.425   46.895  -22.061
 2.13000   29.248  -11.472   47.156  -22.750
 2.14000   29.348  -11.521   47.396  -23.500
 2.15000   29.450  -11.571   47.615  -24.320
 2.16000   29.553  -11.622   47.812  -25.226
 2.17000   29.656  -11.673   47.986  -26.231
 2.18000   29.761  -11.726   48.136  -27.356
 2.19000   29.865  -11.780   48.262  -28.626
 2.20000   29.971  -11.834   48.362  -30.066
 2.21000   30.076  -11.889   48.438  -31.695
 2.22000   30.182  -11.945   48.488  -33.477
 2.23000   30.288  -12.002   48.513  -35.205
 2.24000   30.393  -12.059   48.511  -36.291
 2.25000   30.499  -12.117   48.484  -36.041
 2.26000   30.604  -12.175   48.431  -34.642
 2.27000   30.708  -12.234   48.353  -32.855
 2.28000   30.812  -12.293   48.250  -31.120
 2.29000   30.915  -12.353   48.122  -29.562
 2.30000   31.017  -12.412   47.970  -28.187
 2.31000   31.118  -12.472   47.794  -26.975
 2.32000   31.218  -12.531   47.596  -25.898
 2.33000   31.316  -12.591   47.376  -24.934
 2.34000   31.413  -12.650   47.135  -24.063
 2.35000   31.508  -12.710   46.874  -23.273
 2.36000   31.601  -12.768   46.593  -22.549
 2.37000   31.692  -12.826   46.295  -21.884
 2.38000   31.781  -12.884   45.979  -21.269
 2.39000   31.868  -12.941   45.647  -20.698
 2.40000   31.952  -12.997   45.301  -20.166
 2.41000   32.034  -13.052   44.941  -19.668
 2.42000   32.113  -13.106   44.569  -19.202
 2.43000   32.190  -13.159   44.185  -18.764
 2.44000   32.264  -13.210   43.790  -18.350
 2.45000   32.334  -13.260   43.387  -17.960
 2.46000   32.402  -13.308   42.975  -17.591
 2.47000   32.466  -13.354   42.557  -17.242
 2.48000   32.527  -13.398   42.132  -16.910
