FREQ-GHZ  DB[S21]
             L1.6
 
 0.00000 -1.1e-07
 0.10000   -0.015
 0.20000   -0.030
 0.30000   -0.045
 0.40000   -0.060
 0.50000   -0.075
 0.60000   -0.090
 0.70000   -0.105
 0.80000   -0.120
 0.90000   -0.135
 1.00000   -0.150
 1.10000   -0.166
 1.20000   -0.181
 1.30000   -0.196
 1.40000   -0.211
 1.50000   -0.227
 1.60000   -0.242
 1.70000   -0.257
 1.80000   -0.273
 1.90000   -0.288
 2.00000   -0.303
 2.10000   -0.319
 2.20000   -0.334
 2.30000   -0.349
 2.40000   -0.365
 2.50000   -0.380
 2.60000   -0.396
 2.70000   -0.411
 2.80000   -0.427
 2.90000   -0.443
 3.00000   -0.459
 3.10000   -0.474
 3.20000   -0.490
 3.30000   -0.506
 3.40000   -0.521
 3.50000   -0.537
 3.60000   -0.553
 3.70000   -0.569
 3.80000   -0.584
 3.90000   -0.600
 4.00000   -0.616
 4.10000   -0.632
 4.20000   -0.648
 4.30000   -0.664
 4.40000   -0.680
 4.50000   -0.697
 4.60000   -0.713
 4.70000   -0.729
 4.80000   -0.745
 4.90000   -0.761
 5.00000   -0.777
 5.10000   -0.793
 5.20000   -0.809
 5.30000   -0.826
 5.40000   -0.842
 5.50000   -0.859
 5.60000   -0.875
 5.70000   -0.892
 5.80000   -0.908
 5.90000   -0.925
 6.00000   -0.942
 6.10000   -0.958
 6.20000   -0.974
 6.30000   -0.991
 6.40000   -1.007
 6.50000   -1.024
 6.60000   -1.040
 6.70000   -1.057
 6.80000   -1.074
 6.90000   -1.091
 7.00000   -1.108
 7.10000   -1.126
 7.20000   -1.143
 7.30000   -1.160
 7.40000   -1.177
 7.50000   -1.194
 7.60000   -1.211
 7.70000   -1.227
 7.80000   -1.244
 7.90000   -1.260
 8.00000   -1.277
 8.10000   -1.294
 8.20000   -1.311
 8.30000   -1.329
 8.40000   -1.347
 8.50000   -1.365
 8.60000   -1.384
 8.70000   -1.402
 8.80000   -1.420
 8.90000   -1.437
 9.00000   -1.454

