FREQ-GHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
2.42	-1.282	78.18
2.43	-1.275	73.098
2.44	-1.268	68.505
2.45	-1.259	64.328
2.46	-1.251	60.507
2.47	-1.241	56.994
2.48	-1.232	53.748
2.49	-1.222	50.736
2.5	-1.212	47.93
2.51	-1.202	45.304
2.52	-1.192	42.839
2.53	-1.182	40.517
2.54	-1.171	38.323
2.55	-1.161	36.243
2.56	-1.151	34.266
2.57	-1.141	32.382
2.58	-1.131	30.581
2.59	-1.122	28.856
2.6	-1.112	27.2
2.61	-1.103	25.606
2.62	-1.094	24.069
2.63	-1.085	22.583
2.64	-1.077	21.145
2.65	-1.069	19.75
2.66	-1.062	18.395
2.67	-1.054	17.076
2.68	-1.048	15.791
2.69	-1.041	14.536
2.7	-1.035	13.311
2.71	-1.03	12.113
2.72	-1.025	10.942
2.73	-1.02	9.796
2.74	-1.016	8.678
2.75	-1.013	7.591
2.76	-1.009	6.54
2.77	-1.007	5.537
2.78	-1.005	4.605
2.79	-1.003	3.79
2.8	-1.002	3.176
2.81	-1.002	2.888
2.82	-1.002	3.02
2.83	-1.003	3.526
2.84	-1.004	4.276
2.85	-1.006	5.17
2.86	-1.009	6.149
2.87	-1.012	7.184
2.88	-1.016	8.259
2.89	-1.02	9.366
2.9	-1.025	10.501
2.91	-1.031	11.662
2.92	-1.038	12.85
2.93	-1.045	14.065
2.94	-1.053	15.308
2.95	-1.061	16.581
2.96	-1.071	17.887
2.97	-1.081	19.228
2.98	-1.092	20.607
2.99	-1.104	22.028
3	-1.116	23.495
3.01	-1.13	25.011
3.02	-1.144	26.582
3.03	-1.159	28.213
3.04	-1.174	29.911
3.05	-1.191	31.68
3.06	-1.208	33.53
3.07	-1.226	35.469
3.08	-1.245	37.506
3.09	-1.265	39.652
3.1	-1.285	41.92
3.11	-1.306	44.323
3.12	-1.328	46.879
3.13	-1.351	49.606
3.14	-1.374	52.527
3.15	-1.398	55.667
3.16	-1.422	59.057
3.17	-1.447	62.734
3.18	-1.472	66.741
3.19	-1.498	71.131
3.2	-1.523	75.968
