FREQ-GHZ	DB[S11]	MAG[Z1]
	EXP1	EXP1
		
2.4	-0.857	17.694
2.41	-0.865	19.035
2.42	-0.874	20.413
2.43	-0.884	21.832
2.44	-0.894	23.296
2.45	-0.905	24.808
2.46	-0.917	26.375
2.47	-0.929	28.001
2.48	-0.942	29.692
2.49	-0.956	31.454
2.5	-0.97	33.296
2.51	-0.985	35.226
2.52	-1.001	37.253
2.53	-1.018	39.388
2.54	-1.035	41.643
2.55	-1.053	44.033
2.56	-1.071	46.574
2.57	-1.091	49.284
2.58	-1.11	52.186
2.59	-1.131	55.306
2.6	-1.151	58.674
2.61	-1.173	62.326
2.62	-1.194	66.307
2.63	-1.216	70.668
2.64	-1.239	75.475
2.65	-1.261	80.805
2.66	-1.284	86.759
2.67	-1.306	93.461
2.68	-1.329	101.069
2.69	-1.351	109.791
2.7	-1.373	119.898
2.71	-1.395	131.756
2.72	-1.416	145.863
2.73	-1.437	162.915
2.74	-1.457	183.9
2.75	-1.476	210.25
2.76	-1.495	244.048
2.77	-1.512	288.256
2.78	-1.528	346.556
2.79	-1.543	421.059
2.8	-1.557	502.499
2.81	-1.569	552.554
2.82	-1.58	528.437
2.83	-1.59	452.699
2.84	-1.598	373.224
2.85	-1.605	308.699
2.86	-1.61	259.543
2.87	-1.613	222.164
2.88	-1.615	193.254
2.89	-1.616	170.416
2.9	-1.615	151.997
2.91	-1.613	136.859
2.92	-1.609	124.209
2.93	-1.604	113.481
2.94	-1.598	104.266
2.95	-1.591	96.26
2.96	-1.583	89.233
2.97	-1.575	83.01
2.98	-1.565	77.455
2.99	-1.554	72.459
3	-1.543	67.936
3.01	-1.531	63.818
3.02	-1.519	60.046
3.03	-1.507	56.575
3.04	-1.494	53.365
3.05	-1.481	50.384
3.06	-1.467	47.605
3.07	-1.454	45.003
3.08	-1.44	42.559
3.09	-1.427	40.256
3.1	-1.414	38.078
3.11	-1.4	36.014
3.12	-1.387	34.05
3.13	-1.375	32.179
3.14	-1.362	30.39
3.15	-1.35	28.676
3.16	-1.338	27.03
3.17	-1.326	25.446
3.18	-1.315	23.918
3.19	-1.304	22.442
3.2	-1.294	21.013
3.21	-1.284	19.628
3.22	-1.275	18.282
3.23	-1.266	16.973
3.24	-1.258	15.698
3.25	-1.25	14.456
3.26	-1.243	13.244
3.27	-1.236	12.061
3.28	-1.23	10.907
3.29	-1.225	9.783
3.3	-1.22	8.691
3.31	-1.215	7.637
3.32	-1.212	6.629
3.33	-1.209	5.684
3.34	-1.206	4.831
3.35	-1.205	4.121
3.36	-1.204	3.633
3.37	-1.203	3.458
3.38	-1.204	3.641
3.39	-1.205	4.136
3.4	-1.206	4.85
3.41	-1.209	5.705
3.42	-1.212	6.652
3.43	-1.216	7.661
3.44	-1.221	8.717
3.45	-1.226	9.809
3.46	-1.233	10.934
3.47	-1.24	12.088
3.48	-1.248	13.272
3.49	-1.256	14.484
3.5	-1.266	15.728
3.51	-1.276	17.003
3.52	-1.288	18.312
3.53	-1.3	19.659
3.54	-1.313	21.045
3.55	-1.327	22.474
3.56	-1.342	23.95
3.57	-1.358	25.478
3.58	-1.374	27.063
3.59	-1.392	28.709
3.6	-1.41	30.422
3.61	-1.43	32.211
3.62	-1.45	34.082
3.63	-1.472	36.044
3.64	-1.494	38.107
3.65	-1.517	40.282
3.66	-1.541	42.582
3.67	-1.565	45.021
3.68	-1.591	47.616
3.69	-1.617	50.388
3.7	-1.643	53.358
3.71	-1.671	56.553
3.72	-1.699	60.006
3.73	-1.727	63.752
3.74	-1.756	67.838
3.75	-1.785	72.317
3.76	-1.814	77.254
3.77	-1.844	82.73
3.78	-1.873	88.845
3.79	-1.902	95.723
3.8	-1.931	103.521
3.81	-1.959	112.439
3.82	-1.987	122.736
3.83	-2.013	134.747
3.84	-2.039	148.914
3.85	-2.064	165.813
3.86	-2.088	186.189
3.87	-2.111	210.966
3.88	-2.132	241.151
3.89	-2.151	277.415
3.9	-2.168	318.856
3.91	-2.184	360.348
3.92	-2.198	389.948
3.93	-2.21	393.619
3.94	-2.22	369.258
3.95	-2.228	329.315
3.96	-2.233	287.158
3.97	-2.237	249.448
3.98	-2.239	217.817
3.99	-2.238	191.816
4	-2.236	170.46
